VehicleId,VehicleType,InitialLoad,RouteSequence,ClientsServed,DemandSatisfied,TotalDistance,TotalTime,Cost
V00,Truck,130,CD-COM17-COM04-COM22-COM19-COM07-COM21-COM12-COM20-CD,8,25-15-18-11-17-14-12-15,469.11,703.69,7087950.0
V01,Truck,140,CD-COM03-COM15-COM01-COM10-COM16-COM24-COM11-COM09-COM05-CD,9,12-17-13-15-10-11-17-20-20,595.54,893.3,8990100.0
V02,Truck,120,CD-COM14-COM23-COM02-COM13-COM06-COM18-COM08-CD,7,15-15-15-21-17-12-20,440.94,661.43,6659700.0
