iteraciones,perturbacion,mejor_costo,peor_costo,promedio_costo,desviacion_costo,promedio_tiempo
500,2,249.17000000000004,263.50000000000006,254.72333333333336,6.2785153942278304,1.8936978975931804
1000,2,237.45000000000002,251.10999999999996,242.68999999999997,6.012941598474609,3.701199690500895
1000,3,258.55000000000007,276.90999999999997,267.6466666666667,7.49636504506606,3.5792115529378257
1500,3,252.85000000000005,265.06000000000006,258.53333333333336,5.020254530953146,5.360519011815389
